[Header]																																																																		
Data File Name	C:\path\to\files\sample_1.qgd																																																																	
Output Date	01.03.2022																																																																	
Output Time	03:22:15																																																																	
																																																																		
[MS Quantitative Results]																																																																		
# of IDs	80																																																																	
ID#	Name	Type	ISTD Group#	Mass	Ret.Time	Start Time	End Time	A/H	Area	Height	Conc.	Mode	Peak#	Std.Ret.Time	Calibration Curve	3rd	2nd	1st	Constant	Ref.Ion Area	Ref.Ion Height	Ref.Ion Set Ratio	Ref.Ion Ratio	Recovery	SI	Ref.Ion1 m/z	Ref.Ion1 Area	Ref.Ion1 Height	Ref.Ion1 Set Ratio	Ref.Ion1 Ratio	Ref.Ion2 m/z	Ref.Ion2 Area	Ref.Ion2 Height	Ref.Ion2 Set Ratio	Ref.Ion2 Ratio	Ref.Ion3 m/z	Ref.Ion3 Area	Ref.Ion3 Height	Ref.Ion3 Set Ratio	Ref.Ion3 Ratio	Ref.Ion4 m/z	Ref.Ion4 Area	Ref.Ion4 Height	Ref.Ion4 Set Ratio	Ref.Ion4 Ratio	Ref.Ion5 m/z	Ref.Ion5 Area	Ref.Ion5 Height	Ref.Ion5 Set Ratio	Ref.Ion5 Ratio	Ret. Index	S/N	Unit	Description	Threshold	Tailing	Ref.Ion1 S/N	Ref.Ion2 S/N	Ref.Ion3 S/N	Ref.Ion4 S/N	Ref.Ion5 S/N	ISTD Name	ISTD Area	ISTD Height	ISTD Ret.Time	Noise
6	3_Methylapopinene	Target	0	93	8.229	8.153	8.313	3.68	511408	139089	0	Auto	27	8.193						0	0	37.61	37.75	0	94	92	0	0	37.61	37.75	91	0	0	35.12	35.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	57.19	ppm		0	1.122										2432.2
7	"4_Carene, (1S,3R,6R)_(_)_ "	Target	0	93	8.229	8.153	8.313	3.68	511408	139089	0	Auto	32	8.213						0	0	47.32	18.84	0	92	43	0	0	47.32	18.84	92	0	0	38.16	37.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	57.19	ppm		0	1.122										2432.2
8	"Acetate <hexyl_, 2_ethyl_>"	Target	0	43	Not Identified									12.277																																						2.05														70528.557
9	Acetophenone	Target	0	105	10.983	10.94	11.04	1.83	1229126	671815	0	Auto	45	10.963						0	0	65.02	65.64	0	97	77	0	0	65.02	65.64	120	0	0	32.2	32.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	183.11	ppm		0	1.033										3668.957
10	Artemisia acetate	Target	0	127	Not Identified									12.597																																						1.1														4241.455
11	Artemisia alcohol	Target	0	86	Not Identified									11.25																																						0.12														18144.24
12	Artemisia ketone	Target	0	84	Not Identified									10.833																																						3.96														41851.286
13	Benmoxin 	Target	0	105	8.843	8.793	8.87	2.42	33346	13784	0	Auto	61	8.827						0	0	40.95	42.67	0	87	120	0	0	40.95	42.67	91	0	0	10.44	8.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	4.66	ppm		0	0.806										2957.682
14	Benzaldehyde	Target	0	105	8.925	8.87	8.99	2.91	376804	129408	0	Auto	67	8.9						0	0	93.36	101.81	0	93	106	0	0	93.36	101.81	77	0	0	81.19	87.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	45.5	ppm		0	0.958										2844.235
15	Benzaldehyde <para_ethoxy_>	Target	0	121	14.81	14.78	14.843	1.57	52729	33606	0	Auto	71	15.243						0	0	42.72	44.35	0	78	150	0	0	42.72	44.35	122	0	0	22.01	21.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1311	6.14	ppm		0	0.98										5469.14
16	"Benzene <1,4_diacetyl_>"	Target	0	147	16.426	16.39	16.457	1.62	64783	39985	0	Auto	76	16.617						0	0	38.95	40.06	0	94	91	0	0	38.95	40.06	43	0	0	30.63	24.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1429	3.13	ppm		0	0.964										12781.261
17	Benzoate <ethyl_>	Target	0	105	12.77	12.743	12.817	1.47	122069	83116	0	Auto	83	12.747						0	0	42.21	41.78	0	96	77	0	0	42.21	41.78	122	0	0	32.39	32.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	14.99	ppm		0	0.984										5545.25
18	Benzyl alcohol 	Target	0	79	10.363	10.273	10.407	2.08	122087	58599	0	Auto	90	10.343						0	0	92.53	95.24	0	96	108	0	0	92.53	95.24	107	0	0	61.78	61.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	13.38	ppm		0	0.901										4378.474
19	Borneol	Target	0	95	Not Identified									12.847																																						7.29														15086.833
20	Camphene	Target	0	93	8.604	8.543	8.683	3.48	61824	17790	0	Auto	97	8.64						0	0	69.83	72.86	0	86	121	0	0	69.83	72.86	79	0	0	34.51	29.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	11.84	ppm		0	1.067										1502.176
21	Camphor	Target	0	95	Not Identified									12.437																																						2.54														16184.533
22	Caparratriene	Target	0	95	Not Identified									16.333																																						1.59														6544.563
23	"Carbonic acid, eicosyl vinyl ester"	Target	0	57	Not Identified									10.287																																						1.19														408770.829
24	Carvone	Target	0	82	13.961	13.937	13.993	1.45	50459	34792	0	Auto	117	13.953						0	0	48.84	49.26	0	80	54	0	0	48.84	49.26	93	0	0	37.9	38.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1254	3.81	ppm		0	0.969										9136.486
25	Carvyl acetate <cis_>	Target	0	84	Not Identified									15.537																																						0.62														13278.852
26	Caryophyllene <beta_>	Target	0	93	16.409	16.38	16.433	1.45	16675	11504	0	Auto	126	16.507						0	0	81.49	79.16	0	85	133	0	0	81.49	79.16	41	0	0	77.07	76.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	1.9	ppm		0	0.986										6061.783
27	Caryophyllene <E_>	Target	0	93	16.409	16.38	16.433	1.45	16675	11504	0	Auto	131	16.5						0	0	82.89	79.16	0	85	133	0	0	82.89	79.16	41	0	0	82.36	76.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	2.04	ppm		0	0.986										5637.909
28	Cymene <para_>	Target	0	119	Not Identified									10.167																																						10.39														2132
29	"Dihydrocarveol <1,6_>"	Target	0	59	13.182	13.11	13.213	1.52	108015	71030	0	Auto	143	13.177						0	0	63.31	70.41	0	89	93	0	0	63.31	70.41	136	0	0	43.56	47.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	6.39	ppm		0	1.186										11118
30	"Dihydrojasmonate <methyl_, cis_>"	Target	0	83	Not Identified									19.25																																						1.41														13438.97
31	Dihydromyrcenol	Target	0	59	11.012	10.967	11.063	1.72	2850899	1660413	0	Auto	153	10.99						0	0	18.51	14.82	0	92	55	0	0	18.51	14.82	43	0	0	17.29	11.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1074	164.53	ppm		0	0.981										10092.138
32	Eucalyptol	Target	0	43	Not Identified									10.33																																						2.99														142221.75
33	Guaiene <alpha_>	Target	0	105	Not Identified									16.407																																						1.78														6023.341
34	Hept_5_en_2_one <6_methyl_>	Target	0	43	9.341	9.307	9.38	2.05	460906	225215	0	Auto	169	9.33						0	0	55.18	53.57	0	98	41	0	0	55.18	53.57	108	0	0	45.6	45.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	1.57	ppm		0	1.032										142999.79
35	Heptanone<5_methyl_3_>	Target	0	43	8.39	8.327	8.473	2.88	2804941	973524	0	Auto	173	8.387						0	0	83.35	89.17	0	97	57	0	0	83.35	89.17	71	0	0	64.09	69.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933	12.61	ppm		0	0.994										77179
36	Hex_(3Z)_enyl acetate	Target	0	43	Not Identified									9.737																																						1.5														246373.605
37	"Hexanal, 2_ethyl_ "	Target	0	57	8.699	8.68	8.733	1.66	52470	31666	0	Auto	182	8.69						0	0	90.15	84.47	0	81	72	0	0	90.15	84.47	43	0	0	45.3	28.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	0.89	ppm		0	1.282										35424.375
38	Hydroxy citronellyl tiglate	Target	0	83	Not Identified									8.757																																						0.66														5088.8
39	Hydroxycitronellol	Target	0	59	Not Identified									15.4																																						6.01														8936.304
