[Header Info Signal 1 COLT 3.0]
"champor_std_20_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  17:51    ,210420_Ring21_liq_sync.M,7
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",995640,13.927,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",10409,14.197,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",25003,14.476,0.00
"decane EIC",0,0.000,0.00
"hexyl_acetate TIC",20101,14.475,0.00
"hexyl_acetate EIC",44446,14.592,0.00
"methyldecane_2 TIC",160205,14.590,0.00
"methyldecane_2 EIC",34094,14.592,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",17633,15.151,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",43070,15.164,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",727454,15.616,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",480810,15.618,0.00
"sabinene_hydrate_E TIC",2099141,15.815,0.00
"sabinene_hydrate_E EIC",121998,15.819,0.00
"sabinene_hydrate_E SIM",1552638,15.622,0.00
"acetophenone TIC",232610,15.893,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",296566,16.373,0.00
"nonanal EIC",538343,16.294,0.00
"RI_1118_unknown TIC",820585,16.495,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",543070,16.497,0.00
"thujone_a EIC",0,0.000,0.00
"thujone_b TIC",774834,16.650,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",96533204,17.250,0.00
"champhor EIC",18680418,17.250,0.00
"borneol TIC",194293,17.666,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",243537,17.921,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",341897,17.921,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",5453787,18.972,0.00
"RI_1302_unknown TIC",593015,19.373,0.00
"RI_1312_unknown TIC",377774,19.503,0.00
"1-Bromo-Decane TIC",481860,20.093,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",53282,20.718,0.00
"RI_1404_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1414_unknown_sesquiterpene TIC",77061,20.912,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",111670,21.380,0.00
"caryophyllene_b EIC",0,0.000,0.00
"caryophyllene_b SIM",0,0.000,0.00
"RI_1504_unknown_sesquiterpene TIC",926373,22.041,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",470676,22.212,0.00
"RI_1514_unknown EIC",3007,22.297,0.00
"RI_1520_unknown_sesquiterpene TIC",226803,22.212,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",20576,22.310,0.00
"RI_1536_unknown TIC",5448199,22.489,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",1597553,22.619,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"champor_std_40_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  19:13    ,210420_Ring21_liq_sync.M,8
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"champor_std_40_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  19:13    ,210420_Ring21_liq_sync.M,8
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",126666,13.306,0.00
"pinene_a SIM",133266,13.307,0.00
"RI_960_unknown_monoterpene TIC",10674,13.657,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",59115,13.705,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",15877,13.669,0.00
"RI_975_unknown_monoterpene TIC",1536874,13.927,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",11610,14.289,0.00
"decane TIC",0,0.000,0.00
"decane EIC",0,0.000,0.00
"hexyl_acetate TIC",0,0.000,0.00
"hexyl_acetate EIC",0,0.000,0.00
"methyldecane_2 TIC",115952,14.578,0.00
"methyldecane_2 EIC",9894,14.652,0.00
"RI_1019_unknown_monoterpene TIC",45668,14.748,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",57444,14.943,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",8523,15.103,0.00
"limonene TIC",87806,15.117,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",110947,15.106,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",1344325,15.606,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",767055,15.609,0.00
"sabinene_hydrate_E TIC",1837235,15.812,0.00
"sabinene_hydrate_E EIC",80453,15.818,0.00
"sabinene_hydrate_E SIM",1615707,15.610,0.00
"acetophenone TIC",219215,15.894,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",294858,16.375,0.00
"nonanal EIC",321477,16.294,0.00
"RI_1118_unknown TIC",1360273,16.517,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",433905,16.501,0.00
"thujone_a EIC",35749,16.522,0.00
"thujone_b TIC",6351062,16.684,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",192004322,17.251,0.00
"champhor EIC",35924611,17.251,0.00
"borneol TIC",435691,17.653,0.00
"borneol EIC",114331,17.650,0.00
"dodecane TIC",2453735,17.810,0.00
"dodecane EIC",44890,17.834,0.00
"methylsalicylate TIC",358855,17.904,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",0,0.000,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",4089432,18.969,0.00
"RI_1302_unknown TIC",1358896,19.359,0.00
"RI_1312_unknown TIC",332355,19.486,0.00
"1-Bromo-Decane TIC",0,0.000,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",74916,20.198,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",202642,20.345,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",271240,20.430,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",1483754,20.727,0.00
"RI_1404_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1414_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",381279,21.376,0.00
"caryophyllene_b EIC",0,0.000,0.00
"caryophyllene_b SIM",0,0.000,0.00
"RI_1504_unknown_sesquiterpene TIC",25140465,22.015,0.00
"RI_1504_unknown_sesquiterpene EIC",-1385,22.152,0.00
"RI_1504_unknown_sesquiterpene SIM",-193,22.159,0.00
"RI_1514_unknown TIC",334893,22.190,0.00
"RI_1514_unknown EIC",158104,22.252,0.00
"RI_1520_unknown_sesquiterpene TIC",1195409,22.260,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",26155,22.160,0.00
"RI_1536_unknown TIC",4431702,22.466,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",231046,22.674,0.00
"farnesen_a EIC",10259,22.749,0.00
"farnesen_a SIM",11219,22.744,0.00
[Header Info Signal 1 COLT 3.0]
"champor_std_40_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  19:54    ,210420_Ring21_liq_sync.M,8
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"champor_std_40_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  19:54    ,210420_Ring21_liq_sync.M,8
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",127763,13.308,0.00
"pinene_a SIM",139601,13.308,0.00
"RI_960_unknown_monoterpene TIC",0,0.000,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",0,0.000,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",827475,13.926,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",27242,14.209,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",0,0.000,0.00
"decane EIC",0,0.000,0.00
"hexyl_acetate TIC",0,0.000,0.00
"hexyl_acetate EIC",0,0.000,0.00
"methyldecane_2 TIC",116453,14.585,0.00
"methyldecane_2 EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",35859,15.131,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",57545,15.157,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",56893,15.157,0.00
"RI_1066_unknown_monoterpen TIC",679204,15.622,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",463459,15.623,0.00
"sabinene_hydrate_E TIC",1625300,15.813,0.00
"sabinene_hydrate_E EIC",80738,15.816,0.00
"sabinene_hydrate_E SIM",1625895,15.625,0.00
"acetophenone TIC",1743778,15.813,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",288837,16.374,0.00
"nonanal EIC",331087,16.294,0.00
"RI_1118_unknown TIC",1107099,16.522,0.00
"RI_1118_unknown EIC",9116,16.531,0.00
"thujone_a TIC",1058088,16.522,0.00
"thujone_a EIC",0,0.000,0.00
"thujone_b TIC",888329,16.651,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",189920943,17.251,0.00
"champhor EIC",35932681,17.251,0.00
"borneol TIC",296975,17.665,0.00
"borneol EIC",68028,17.660,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",205264,17.929,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",423161,17.925,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",2585955,18.984,0.00
"RI_1302_unknown TIC",1215529,19.326,0.00
"RI_1312_unknown TIC",120090,19.526,0.00
"1-Bromo-Decane TIC",160648,20.134,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",80901,20.134,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1414_unknown_sesquiterpene TIC",27366,20.872,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",0,0.000,0.00
"caryophyllene_b EIC",0,0.000,0.00
"caryophyllene_b SIM",0,0.000,0.00
"RI_1504_unknown_sesquiterpene TIC",547551,22.058,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",110835,22.166,0.00
"RI_1514_unknown EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene TIC",232578,22.230,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1536_unknown TIC",3382289,22.506,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",677633,22.636,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"champor_std_60_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  20:35    ,210420_Ring21_liq_sync.M,9
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"champor_std_60_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  20:35    ,210420_Ring21_liq_sync.M,9
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",0,0.000,0.00
"pinene_a SIM",0,0.000,0.00
"RI_960_unknown_monoterpene TIC",55401,13.666,0.00
"RI_960_unknown_monoterpene EIC",25779,13.669,0.00
"RI_960_unknown_monoterpene SIM",43635,13.670,0.00
"camphene TIC",57364,13.666,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",47211,13.670,0.00
"RI_975_unknown_monoterpene TIC",442644,13.927,0.00
"RI_975_unknown_monoterpene EIC",31199,13.668,0.00
"RI_975_unknown_monoterpene SIM",50889,13.670,0.00
"sabinene TIC",28113,14.017,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",36193,14.468,0.00
"decane EIC",0,0.000,0.00
"hexyl_acetate TIC",20526,14.467,0.00
"hexyl_acetate EIC",17493,14.495,0.00
"methyldecane_2 TIC",105152,14.585,0.00
"methyldecane_2 EIC",18092,14.582,0.00
"RI_1019_unknown_monoterpene TIC",45747,14.744,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",13980,15.058,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",8945,15.104,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",0,0.000,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",1557957,15.605,0.00
"RI_1066_unknown_monoterpen EIC",9771,15.604,0.00
"RI_1066_unknown_monoterpen SIM",845547,15.606,0.00
